Pays,T%Ch,PNB/H,EspV,IndFec
Allemagne,"12,7",28230,"76,74","1,35"
Bulgarie,"13,7",1170,"70,89","1,11"
Chine,3,710,"69,86","1,9"
Colombie,"12,1",25620,"70,29","2,74"
Corée du Sud,"2,6",11390,"72,59","1,6"
Croatie,"16,5",4640,"72,76","1,45"
Espagne,"20,8",14530,"77,91","1,16"
États-Unis,5,29440,"76,51",2
France,"12,3",25430,"78,31","1,75"
Israël,"7,7",16190,"77,81","2,55"
Italie,"12,3",20180,"78,26","1,23"
Japon,"3,4",38260,"80,54","1,39"
Lettonie,"7,4",2300,"69,66","1,09"
Luxembourg,"3,6",36600,"76,66","1,71"
Royaume-Unis,"5,7",20760,"77,17","1,71"
Russie,"10,8",2610,"66,96","1,24"
Turquie,"6,9",3200,"69,26","2,45"
Algérie,"28,7",1530,"70,58","3,48"
